product_type,brand_name,product_description,search_result_id,watersense_certified,energy_star_certified,ada_certified,product_url,image_url,product_rating,cost,currency
toilet,kohler,KOHLER Cimarron Revolution 360 Complete Solution 2-Piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included (6-Pack),317888645,1,0,1,https://www.homedepot.com/p/KOHLER-Cimarron-Revolution-360-Complete-Solution-2-Piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-6-Pack-K-31648-6-0/317888645,https://images.thdstatic.com/productImages/98154a8d-5ab1-4d80-9122-fd4f935c1786/svn/white-kohler-two-piece-toilets-k-31648-6-0-64_1000.jpg,4.3,1374,USD
toilet,american standard,"American Standard Reliant 2-Piece 1.28 GPF Single Flush Round Toilet in White, Seat Included (4-Pack)",315872932,1,0,1,https://www.homedepot.com/p/American-Standard-Reliant-2-Piece-1-28-GPF-Single-Flush-Round-Toilet-in-White-Seat-Included-4-Pack-3332128S-4-020/315872932,https://images.thdstatic.com/productImages/e79c1504-f125-42fd-ad78-33ff12ae76b3/svn/white-american-standard-two-piece-toilets-3332128s-4-020-64_1000.jpg,4.3,636,USD
toilet,american standard,"American Standard Vormax UHET Tall Height 2-Piece 1.0 GPF Single Flush Elongated Toilet in White, Seat Not Included",302367051,1,0,1,https://www.homedepot.com/p/American-Standard-Vormax-UHET-Tall-Height-2-Piece-1-0-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Not-Included-238AA114-020/302367051,https://images.thdstatic.com/productImages/0c81fc88-3696-43f1-a3a1-60730df1245e/svn/white-american-standard-two-piece-toilets-238aa114-020-64_1000.jpg,3.5,305.04,USD
toilet,grohe,"GROHE Eurocube 2-piece 1.28 GPF Single Flush Elongated Toilet with Right Hand Trip Lever in Alpine White, Seat Included",317156256,1,0,1,https://www.homedepot.com/p/GROHE-Eurocube-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-with-Right-Hand-Trip-Lever-in-Alpine-White-Seat-Included-39663000/317156256,https://images.thdstatic.com/productImages/e547c280-fa3f-42b9-bd93-eb5fae9ce5d5/svn/alpine-white-grohe-two-piece-toilets-39663000-64_1000.jpg,4.8,626,USD
toilet,grohe,"GROHE Essence 2-piece 1.28/1.0 GPF Dual Flush Elongated Toilet in Alpine White, Seat Included",317183983,1,0,1,https://www.homedepot.com/p/GROHE-Essence-2-piece-1-28-1-0-GPF-Dual-Flush-Elongated-Toilet-in-Alpine-White-Seat-Included-39674000/317183983,https://images.thdstatic.com/productImages/5e3ba255-b680-4661-a3e1-714dcdc1f07d/svn/alpine-white-grohe-two-piece-toilets-39674000-64_1000.jpg,0,630.7,USD
toilet,duravit,Duravit Starck Elongated Toilet Bowl Only in White,322282324,1,0,1,https://www.homedepot.com/p/Duravit-Starck-Elongated-Toilet-Bowl-Only-in-White-2530090092/322282324,https://images.thdstatic.com/productImages/beba3a41-2e77-445e-97ab-11516058cd9b/svn/white-duravit-toilet-bowls-2530090092-64_1000.jpg,1,341.25,USD
toilet,american standard,American Standard Champion Tall Height 2-Piece High-Efficiency 1.28 GPF Single Flush Round Front Toilet in White Seat Included (4-Pack),314700230,1,0,1,https://www.homedepot.com/p/American-Standard-Champion-Tall-Height-2-Piece-High-Efficiency-1-28-GPF-Single-Flush-Round-Front-Toilet-in-White-Seat-Included-4-Pack-747BA107SC4-020/314700230,https://images.thdstatic.com/productImages/b8498fed-6d2d-4cfa-86c0-ab31c592768a/svn/white-american-standard-two-piece-toilets-747ba107sc4-020-64_1000.jpg,4.1,996,USD
toilet,grohe,"GROHE Eurocube 2-piece 1.28/1.0 GPF Dual Flush Elongated Toilet in Alpine White, Seat Included",317155983,1,0,1,https://www.homedepot.com/p/GROHE-Eurocube-2-piece-1-28-1-0-GPF-Dual-Flush-Elongated-Toilet-in-Alpine-White-Seat-Included-39661000/317155983,https://images.thdstatic.com/productImages/3df224d1-ba50-4fc1-9992-75d8e1018a71/svn/alpine-white-grohe-two-piece-toilets-39661000-64_1000.jpg,1,626.5,USD
toilet,kohler,KOHLER Cimarron 1-piece 1.28 GPF Single Flush Elongated Toilet in Biscuit,207088738,1,0,1,https://www.homedepot.com/p/KOHLER-Cimarron-1-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-Biscuit-K-3619-96/207088738,https://images.thdstatic.com/productImages/6a82271c-1b7a-4bbe-be3a-1137e844d5e4/svn/biscuit-kohler-one-piece-toilets-k-3619-96-64_1000.jpg,4.2,972.79,USD
toilet,kohler,KOHLER Cimarron Elongated Toilet Bowl Only in Biscuit,302499871,1,0,1,https://www.homedepot.com/p/KOHLER-Cimarron-Elongated-Toilet-Bowl-Only-in-Biscuit-K-5309-96/302499871,https://images.thdstatic.com/productImages/7df1bb67-a099-47b7-b51a-fd7ed377f81e/svn/biscuit-kohler-toilet-bowls-k-5309-96-64_1000.jpg,3.7,339.58,USD
toilet,kohler,"KOHLER Memoirs 2-Piece 1.28 GPF Single Flush Elongated Toilet in White, Seat Included (6-Pack)",317888648,1,0,1,https://www.homedepot.com/p/KOHLER-Memoirs-2-Piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-6-Pack-K-10493-6-0/317888648,https://images.thdstatic.com/productImages/ff50e379-eccd-4c81-80a9-323dcacf0038/svn/white-kohler-two-piece-toilets-k-10493-6-0-64_1000.jpg,4.4,2346.68,USD
toilet,grohe,"GROHE Essence 2-piece 1.28 GPF Single Flush Elongated Toilet with Left Hand Trip Lever in Alpine White, Seat Included",317184011,1,0,1,https://www.homedepot.com/p/GROHE-Essence-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-with-Left-Hand-Trip-Lever-in-Alpine-White-Seat-Included-39675000/317184011,https://images.thdstatic.com/productImages/5c5989e7-0c40-4158-a057-a648917ace95/svn/alpine-white-grohe-two-piece-toilets-39675000-64_1000.jpg,0,626.5,USD
toilet,kohler,KOHLER Wellworth 1.1 or 1.6 GPF Dual Flush Toilet Tank Only in White,204286898,1,0,1,https://www.homedepot.com/p/KOHLER-Wellworth-1-1-or-1-6-GPF-Dual-Flush-Toilet-Tank-Only-in-White-K-4458-0/204286898,https://images.thdstatic.com/productImages/91d5fafb-5f1d-431b-a332-c0dd49cace66/svn/white-kohler-toilet-tanks-k-4458-0-64_1000.jpg,4.4,162.11,USD
toilet,kohler,KOHLER Corbelle 1.28 GPF Single-Flush Toilet Tank with Left-Hand Trip Lever in White,306580870,1,0,1,https://www.homedepot.com/p/KOHLER-Corbelle-1-28-GPF-Single-Flush-Toilet-Tank-with-Left-Hand-Trip-Lever-in-White-K-5711-0/306580870,https://images.thdstatic.com/productImages/474553f2-b5cb-445b-9779-682239d468f0/svn/white-kohler-toilet-tanks-k-5711-0-64_1000.jpg,4.4,252.11,USD
